year,value
1850,285.5
1851,285.6219118
1852,285.7598381
1853,285.8837568
1854,285.9897006
1855,286.0756249
1856,286.1745497
1857,286.3204715
1858,286.4763727
1859,286.6433211
1860,286.8282444
1861,287.0131678
1862,287.171083
1863,287.3329961
1864,287.4949092
1865,287.6578598
1866,287.8157751
1867,287.9806789
1868,288.1216264
1869,288.2325446
1870,288.3534725
1871,288.4833727
1872,288.6443092
1873,288.8312161
1874,289.0231585
1875,289.244062
1876,289.463989
1877,289.6869372
1878,289.9188576
1879,290.1377775
1880,290.3776935
1881,290.6356149
1882,290.9085509
1883,291.143462
1884,291.383378
1885,291.6593048
1886,291.9532369
1887,292.2581553
1888,292.5980774
1889,292.9390066
1890,293.2749309
1891,293.6238557
1892,293.9657614
1893,294.2666821
1894,294.5716005
1895,294.8505485
1896,295.1274518
1897,295.3993807
1898,295.6983177
1899,296.0352186
1900,296.4011416
1901,296.7240654
1902,297.0330122
1903,297.3529148
1904,297.6438562
1905,297.9697707
1906,298.3336796
1907,298.7606073
1908,299.1715438
1909,299.5804662
1910,300.0123683
1911,300.4552872
1912,300.9702276
1913,301.5181575
1914,302.0180528
1915,302.5269812
1916,303.0659084
1917,303.5828325
1918,304.0117438
1919,304.3676877
1920,304.7906176
1921,305.135514
1922,305.4714383
1923,305.7883807
1924,306.1382821
1925,306.3122191
1926,306.4441333
1927,306.6580484
1928,306.8009795
1929,306.9579182
1930,307.0738413
1931,307.2667602
1932,307.5286794
1933,307.8285929
1934,308.2025116
1935,308.6354513
1936,309.411378
1937,310.1542847
1938,310.6752066
1939,311.2231365
1940,311.720041
1941,312.1649741
1942,312.5168896
1943,312.7258303
1944,312.7397331
1945,312.7026716
1946,312.6985995
1947,312.7855004
1948,312.8114271
1949,312.9133426
1950,313.0932916
1951,313.2772078
1952,313.5961338
1953,313.9750574
1954,314.3309707
1955,314.6419011
1956,314.9158137
1957,315.2007431
1958,315.544663
1959,315.9975917
1960,316.8065079
1961,317.4714117
1962,318.2073604
1963,318.8042711
1964,319.4781775
1965,319.9521023
1966,321.0070513
1967,321.59795
1968,322.4978696
1969,323.3507922
1970,324.8737282
1971,325.4816557
1972,327.4215839
1973,329.9725045
1974,330.8104125
1975,330.8723499
1976,331.5812601
1977,333.3801666
1978,335.0281026
1979,336.6140269
1980,338.8
1981,340
1982,340.76
1983,342.44
1984,343.99
1985,345.46
1986,346.87
1987,348.62
1988,351.15
1989,352.8
1990,353.98
1991,355.29
1992,355.99
1993,356.71
1994,358.21
1995,360.04
1996,361.8
1997,362.9
1998,365.54
1999,367.64
2000,368.83
2001,370.41
2002,372.42
2003,374.97
2004,376.79
2005,378.82
2006,380.96
2007,382.69
2008,384.79
2009,386.29
2010,388.57
2011,390.45
2012,392.46
2013,395.2
2014,397.12
2015,399.42
2016,402.85
2017,405
2018,407.39
2019,409.85
2020,412.44
2021,414.7
2022,417.07
2023,419.23
