year,value
1850,-0.213326357637848
1851,-0.0958263576378475
1852,-0.0583263576378475
1853,-0.100826357637848
1854,-0.0908263576378475
1855,-0.0933263576378475
1856,-0.173326357637848
1857,-0.275826357637848
1858,-0.183326357637848
1859,-0.0808263576378475
1860,-0.213326357637848
1861,-0.260826357637848
1862,-0.330826357637848
1863,-0.173326357637848
1864,-0.210826357637848
1865,-0.115826357637848
1866,-0.110826357637848
1867,-0.115826357637848
1868,-0.0983263576378475
1869,-0.0833263576378475
1870,-0.135826357637848
1871,-0.158326357637848
1872,-0.133326357637848
1873,-0.138326357637848
1874,-0.175826357637848
1875,-0.163326357637848
1876,-0.205826357637848
1877,0.131673642362152
1878,0.186673642362152
1879,-0.0808263576378475
1880,-0.123326357637848
1881,-0.0308263576378475
1882,-0.103326357637848
1883,-0.148326357637848
1884,-0.283326357637848
1885,-0.278326357637848
1886,-0.273326357637848
1887,-0.330826357637848
1888,-0.145826357637848
1889,-0.0283263576378475
1890,-0.305826357637848
1891,-0.195826357637848
1892,-0.273326357637848
1893,-0.273326357637848
1894,-0.280826357637848
1895,-0.213326357637848
1896,-0.0758263576378475
1897,-0.0658263576378475
1898,-0.270826357637848
1899,-0.133326357637848
1900,-0.0233263576378475
1901,-0.0808263576378475
1902,-0.220826357637848
1903,-0.328326357637848
1904,-0.390826357637848
1905,-0.205826357637848
1906,-0.118326357637848
1907,-0.290826357637848
1908,-0.325826357637848
1909,-0.368326357637848
1910,-0.330826357637848
1911,-0.350826357637848
1912,-0.283326357637848
1913,-0.265826357637848
1914,-0.0733263576378475
1915,-0.0108263576378475
1916,-0.230826357637848
1917,-0.363326357637848
1918,-0.220826357637848
1919,-0.150826357637848
1920,-0.108326357637848
1921,-0.0733263576378475
1922,-0.155826357637848
1923,-0.133326357637848
1924,-0.130826357637848
1925,-0.0908263576378475
1926,0.0416736423621525
1927,-0.0608263576378475
1928,-0.0483263576378475
1929,-0.215826357637848
1930,-0.00582635763784753
1931,0.0591736423621525
1932,0.00667364236215245
1933,-0.155826357637848
1934,-0.00832635763784753
1935,-0.0583263576378475
1936,-0.00582635763784753
1937,0.136673642362152
1938,0.136673642362152
1939,0.126673642362152
1940,0.231673642362152
1941,0.214173642362152
1942,0.176673642362152
1943,0.196673642362152
1944,0.324173642362152
1945,0.206673642362152
1946,0.0516736423621525
1947,0.0941736423621525
1948,0.0366736423621525
1949,0.0266736423621525
1950,-0.0508263576378475
1951,0.101673642362152
1952,0.179173642362152
1953,0.241673642362152
1954,0.0441736423621525
1955,-0.00832635763784753
1956,-0.0708263576378475
1957,0.151673642362152
1958,0.166673642362152
1959,0.141673642362152
1960,0.0841736423621525
1961,0.164173642362152
1962,0.119173642362152
1963,0.149173642362152
1964,-0.108326357637848
1965,0.00167364236215248
1966,0.0541736423621525
1967,0.0866736423621525
1968,0.0266736423621525
1969,0.166673642362152
1970,0.124173642362152
1971,0.00417364236215248
1972,0.114173642362152
1973,0.254173642362152
1974,0.0291736423621525
1975,0.0891736423621525
1976,-0.00582635763784753
1977,0.304173642362152
1978,0.199173642362152
1979,0.279173642362152
1980,0.394173642362152
1981,0.444173642362153
1982,0.236673642362152
1983,0.419173642362152
1984,0.254173642362152
1985,0.244173642362152
1986,0.299173642362152
1987,0.431673642362152
1988,0.481673642362152
1989,0.369173642362152
1990,0.546673642362152
1991,0.526673642362152
1992,0.324173642362152
1993,0.374173642362152
1994,0.429173642362152
1995,0.579173642362153
1996,0.466673642362152
1997,0.609173642362152
1998,0.759173642362152
1999,0.514173642362152
2000,0.519173642362152
2001,0.664173642362152
2002,0.736673642362152
2003,0.731673642362152
2004,0.659173642362152
2005,0.801673642362152
2006,0.756673642362153
2007,0.771673642362152
2008,0.651673642362152
2009,0.781673642362152
2010,0.854173642362152
2011,0.731673642362152
2012,0.759173642362152
2013,0.786673642362152
2014,0.856673642362152
2015,1.00667364236215
2016,1.11917364236215
2017,1.02917364236215
2018,0.956673642362152
2019,1.08167364236215
2020,1.11167364236215
2021,0.956673642362152
2022,0.996673642362153
2023,1.27917364236215
